feature_name	TCGA-66-2787	TCGA-66-2755	TCGA-34-2596	TCGA-22-1002	TCGA-63-5131	TCGA-22-1005	TCGA-34-5241	TCGA-22-4607	TCGA-34-5240	TCGA-60-2723	TCGA-66-2734	TCGA-21-1079	TCGA-60-2698	TCGA-37-4133	TCGA-43-3394	TCGA-18-3417	TCGA-37-4130	TCGA-21-1080	TCGA-22-4604	TCGA-46-3765
ABCA12	0.1731	0.0492	1.8705	0.0094	4.4032	0.5195	0.0481	1.7534	1.7084	2.5732	0.2673	1.0424	1.7586	0.9431	0.4525	0.7325	0.0107	0.4365	1.1876	0.1271
ABCA13	4.3671	3.9212	5.0428	1.7234	5.0963	3.173	2.7783	3.6652	4.5727	4.1041	6.0741	2.8397	3.6139	3.8528	6.2323	3.4741	0.8919	2.7837	4.6578	3.6762
ABCA2	0.0767	0.0524	0.1226	0.1527	0.0588	0.432	0.0839	0.0625	0.063	0.0643	0.0896	0.1178	0.0739	0.0833	0.0824	0.1485	0.078	0.7318	0.0866	0.0781
ABCA3	0.0783	2.6015	0.268	3.5396	1.2292	2.6885	0.394	0.0182	0.4156	0.2055	1.3999	0.0269	2.5286	0.1623	0.8304	1.114	0.019	0.1711	0.2217	0.7846
ABCA4	3.2597	1.2179	3.0993	1.7065	4.9049	1.1314	1.1332	1.5262	0.9146	0.1622	1.3593	3.5281	0.2842	6.1241	0.1223	0.1874	0.5746	0.5867	0.1075	0.0885
ABCA5	2.3969	0.1954	0.4708	0.4082	1.6827	1.0697	0.0685	0.2031	1.6848	0.4185	0.2551	0.0669	0.1775	0.8297	2.2762	0.1999	0.3875	0.7276	2.1043	0.4497
ABCA6	4.0008	3.2015	2.8151	4.0447	2.982	3.9916	2.926	2.9312	3.1106	2.9429	3.2338	2.865	2.888	1.4753	3.0687	3.5933	2.7437	2.7559	3.4705	3.2126
ABCA7	0.073	0.12	0.2618	0.0308	0.5814	0.1849	0.061	0.0201	0.0495	0.0421	0.1426	0.0678	0.1444	0.0177	0.0309	0.087	0.0787	0.2926	0.0755	0.1197
ABCA8	1.3819	0.0622	0.6517	2.4488	1.594	2.1034	1.286	0.6866	0.7902	0.2271	1.3524	0.1607	1.5159	0.5257	1.5202	1.3256	1.3226	0.4839	1.0945	0.246
ABCA9	2.5385	0.7918	1.7053	2.6819	2.0397	2.6191	1.0541	1.2483	0.7413	1.1935	2.0422	1.2679	1.5716	1.5904	2.148	1.3517	1.3513	1.4314	2.6284	1.8235
ABCB1	0.282	0.0469	0.0992	0.1368	0.2099	0.5505	0.2387	0.0891	0.148	0.2247	0.0495	0.1976	0.4011	0.1012	1.3317	0.1623	0.5073	0.0814	0.1035	0.0491
ABCB10	0.6509	1.5218	0.3643	0.179	1.0239	0.0542	0.2732	1.073	0.4481	0.167	0.2299	0.0826	0.1617	0.5735	0.6486	0.5227	0.7089	0.3512	0.3576	0.3521
ABCB11	0.3755	0.7689	0.8213	0.7223	1.1556	0.7471	1.8379	1.0472	0.5854	0.6696	0.7321	0.8335	0.6069	1.037	1.0026	1.2679	0.5131	0.8617	0.7085	0.4565
ABCB4	0.1932	0.1349	0.2855	0.0642	0.3213	0.1215	0.4407	0.4154	0.0532	0.2319	0.0563	0.2395	0.1768	0.2318	0.1105	0.228	0.5274	0.1247	0.4936	0.066
ABCB5	0.2594	0.3828	0.843	0.2819	0.3791	0.276	0.8498	1.4465	0.719	0.9027	0.2103	0.3578	0.0782	1.2793	0.5055	1.5004	1.6482	0.3397	1.3422	1.7434
ABCB6	2.0757	0.0812	2.9622	0.0353	0.4104	0.0835	0.1762	0.0962	1.5151	2.291	0.3435	0.0241	0.1047	0.1754	0.6911	0.6292	0.4959	0.1614	0.014	0.5233
ABCB7	0.2427	0.5427	0.2697	0.1861	0.2727	0.2301	0.508	0.2183	0.5401	0.4215	0.3245	0.1551	0.38	0.1707	0.4912	0.4015	0.1471	0.2249	0.5439	0.2343
ABCB8	0.3493	0.3191	0.1443	0.2643	0.1605	0.556	0.0768	0.2838	0.296	0.3689	0.3601	0.6686	0.1352	0.2067	0.0827	0.2418	0.6852	0.557	0.0934	0.1135
ABCB9	0.3794	1.7115	0.2738	0.2261	0.5783	0.5877	0.6288	0.732	0.4866	0.2607	0.609	0.8063	0.5305	0.7365	0.2801	0.7835	0.7298	0.9295	0.3326	0.5633
ABCC1	2.2669	1.4491	1.9368	0.5388	0.5722	0.0682	0.2412	0.0691	1.4239	0.851	0.3217	0.1656	0.1428	0.106	0.3883	0.5185	0.0148	0.5461	0.7089	0.9406
ABCC10	0.8991	0.3656	0.1267	0.1963	1.1195	0.5686	0.5156	0.2547	0.4122	0.1973	1.1405	1.7833	0.4101	0.3049	0.6301	0.6012	0.487	0.8188	0.2061	0.5371
ABCC11	0.0679	0.084	0.1952	0.0792	0.3784	0.1404	0.1745	0.1382	0.2945	0.2667	0.3739	1.4418	0.6594	0.6595	0.3964	0.3099	0.5457	1.0744	0.0685	0.1296
ABCC12	0.4313	1.097	0.6348	0.4002	0.9768	0.5248	1.8629	1.1806	1.6223	0.8366	0.4391	0.5994	1.0095	1.1616	1.5481	0.3594	1.6942	0.6254	0.4437	1.1222
ABCC13	0.4329	0.4853	1.0651	2.0187	1.1367	1.2834	0.8316	0.5775	2.1616	1.1224	0.3321	0.9297	1.6644	1.2077	2.4838	1.3911	0.9038	1.206	0.8962	1.5841
ABCC2	0.0057	0.0048	0.0037	0.0018	0.003	0.0096	0.0033	0.0057	0.0066	0.0228	0.0061	0.0046	0.0021	0.0301	0.0034	0.009	0.4062	0.0038	0.0039	0.0085
ABCC3	1.1985	0.222	1.5285	0.2365	0.019	2.4219	0.0788	0.204	1.4672	1.2733	0.4247	0.0383	1.302	0.8394	0.9831	0.4864	0.0145	0.0295	0.2913	1.3136
ABCC4	1.0087	1.1419	0.2712	0.1813	2.3095	0.1062	0.138	0.0977	0.4888	0.8456	0.1869	0.1348	0.8503	0.3183	0.6316	0.5896	0.8784	0.0525	0.5541	1.0707
ABCC5	3.2745	0.4322	3.1703	1.2021	3.4633	0.2999	1.3495	0.872	2.2075	2.6689	2.0686	0.7425	2.432	3.3941	2.8819	1.1685	0.8446	2.7428	2.6616	2.7974
ABCC6	0.0375	0.0369	0.0389	0.4646	0.0978	1.4951	0.2563	0.1383	0.2253	0.1704	0.1085	0.0296	0.1631	0.28	0.0738	0.2745	1.6758	0.0508	0.0426	0.1213
ABCC8	1.2743	0.1343	2.4462	2.616	0.3234	0.1246	0.8212	0.4164	0.3979	0.3641	0.2213	0.0749	0.2374	1.1752	0.0904	0.9036	1.8997	0.0912	0.4292	0.0963
ABCC9	1.9352	2.3364	1.0905	3.3436	2.4892	2.047	2.1863	2.1626	0.5525	1.3212	3.3499	2.0179	1.9701	0.5383	1.3307	1.2187	0.7445	1.0132	2.1843	2.1428
ABCD1	0.2333	0.4539	0.5092	0.1364	0.355	0.5944	0.1413	0.2172	0.4612	0.5479	0.3154	0.3875	0.3555	0.3972	0.2092	0.5291	0.3543	0.3927	0.259	0.2588
ABCD2	1.8482	1.5316	0.8227	0.5205	0.6521	2.0158	1.9549	0.8147	0.6661	1.2	0.4018	0.4157	1.1841	1.0612	0.4461	1.8128	1.84	0.4362	0.6287	0.951
ABCD3	0.3217	0.3192	0.2681	0.4968	1.4946	0.2278	0.6448	0.7836	0.7486	0.8293	1.3539	0.1261	0.79	0.6885	0.4042	0.273	2.8991	0.3579	0.2079	0.5425
ABCD4	0.1925	0.1565	0.1303	0.8706	0.6408	0.9814	0.675	0.4582	0.1713	0.2202	0.4252	1.9826	0.8061	0.2894	0.1658	0.4595	1.826	0.3469	0.4347	0.523
ABCE1	0.4138	1.5182	0.3005	0.6629	0.4476	0.1932	0.4056	0.3075	0.2727	0.8553	0.4843	0.7749	0.5096	0.2871	0.5416	0.5495	0.3126	1.038	0.608	0.3517
ABCF1	0.4971	0.3394	0.1413	0.844	0.5776	0.5593	0.1879	0.2304	0.1684	0.3132	0.2762	0.448	0.0864	0.1619	0.2431	0.546	0.2537	0.5597	0.4031	0.3743
ABCF2	0.4066	0.4969	0.2092	0.0923	0.3911	0.1085	0.2169	0.1285	0.2102	0.3128	0.377	0.6777	0.1878	0.193	0.313	0.4971	0.0604	0.8275	0.3368	0.1904
ABCF3	1.6728	0.7086	1.4849	1.4946	2.4359	1.5457	0.7664	0.529	1.7019	0.9113	1.2915	1.0239	1.1681	1.4144	0.7571	1.0207	0.5473	2.0319	1.4288	1.5871
ABCG1	2.9135	2.8397	2.1177	2.1763	3.2043	2.3215	2.1066	1.3461	4.2543	2.6844	2.7965	2.0681	2.8085	1.8485	3.0319	1.5838	1.6085	0.4959	3.0603	2.9953
ABCG2	0.0752	0.0233	0.0201	0.04	0.0244	0.0404	0.0619	0.0269	0.5793	0.0526	0.0281	0.0302	0.1621	2.2637	0.0231	0.0397	0.3178	0.021	0.0165	0.0344
ABCG4	0.4521	0.3964	0.3255	0.2744	0.2736	0.2864	0.4594	0.3268	0.2702	0.2467	0.4274	0.3936	0.8614	0.3621	0.2394	0.4746	0.3601	0.1461	0.6292	0.1644
ABCG5	0.002	0.0051	0.0055	0.0062	0.0166	0.0039	0.0219	0.0171	0.0315	0.0061	0.0073	0.0018	0.0064	0.0162	0.0027	0.0224	4.2702	0.0081	0.0272	0.0068
ABCG8	0.4885	0.1539	0.4208	0.225	0.0245	0.2925	1.2355	0.9435	0.9116	0.6866	0.5025	0.371	0.3786	0.7128	0.2558	2.1553	0.6045	0.3869	0.6619	0.2218
ABHD1	1.5123	0.2191	2.2626	1.8029	0.912	0.3264	1.3493	0.5185	0.7462	1.4068	0.3271	0.1401	2.0166	3.8554	2.6632	3.0135	1.5441	1.1723	0.7562	1.4867
ABHD10	2.2349	1.2117	1.9042	0.4774	0.9259	0.3134	1.9757	1.519	1.9202	1.9892	1.229	0.3022	1.1985	1.9462	2.1126	0.8803	0.898	1.458	0.5321	1.6266
ABHD11	0.7535	0.6708	0.3863	0.2268	0.7387	0.7642	1.6529	0.8422	1.8073	0.8036	0.5503	0.3587	0.1327	1.704	0.8963	1.2707	0.4943	0.3915	0.4242	0.6882
ABHD12	0.5436	0.6154	1.6001	0.1928	0.5226	0.5427	1.8589	1.7803	1.58	0.9184	0.7854	1.4909	0.9626	1.107	0.4204	2.2944	0.9571	2.2508	1.68	0.9867
ABHD12B	0.0214	0.0277	0.064	0.0182	0.0068	0.4259	7.0E-4	0.3916	0.0225	0.0341	0.0226	0.0631	3.9947	0.0916	0.0293	0.063	0.1015	0.0624	0.0305	0.034
ABHD13	1.6436	1.5481	1.3022	1.2225	0.6991	0.8356	1.5326	1.2452	1.3949	2.0315	1.1229	2.2696	2.2157	0.927	1.4125	0.9049	2.1043	1.8764	1.4748	1.9537
ABHD14A	0.3344	0.1364	0.5269	0.7343	0.2949	1.8008	0.3288	0.6535	0.5299	0.772	0.1443	0.9795	0.4857	1.5262	0.1553	1.6842	0.9289	0.5711	0.381	0.3019
ABHD14B	0.3821	0.1936	0.2596	0.3148	0.7076	0.7103	0.2364	0.3714	0.5551	0.3625	0.3088	0.8993	0.5128	0.6891	0.6616	0.7388	0.2644	1.2671	0.2649	0.4807
ABHD2	2.1694	0.2516	0.7965	0.8889	0.6661	0.8751	0.3345	0.3482	2.3865	1.1652	1.2437	0.9768	0.4227	0.3423	0.5366	0.5504	0.2176	0.5408	0.484	0.7573
ABHD3	2.0466	1.2911	1.807	0.1261	0.4191	0.2296	0.8326	1.3254	2.7507	0.585	0.6948	0.477	1.7078	2.6023	1.7155	0.6258	1.9263	0.3112	0.9186	0.5959
ABHD4	1.8753	0.2117	2.1201	0.6207	0.9081	1.3045	0.3793	0.2506	1.2493	1.744	0.4879	2.6339	0.5789	1.1904	0.3969	0.4202	0.3195	1.3413	0.9232	1.6462
ABHD5	0.7809	0.5618	1.0162	0.3243	0.633	0.1296	1.2797	1.4477	1.833	2.2339	0.966	0.6759	1.3014	1.0685	0.6496	0.6922	0.1737	0.7905	0.817	0.991
ABHD6	0.7478	0.2225	2.5947	0.9273	1.7418	0.3679	1.0716	0.331	1.5973	0.6661	0.7886	1.2107	1.0138	0.1052	2.023	1.8712	2.6084	0.1031	0.8481	0.333
ABHD7	2.8321	0.2685	2.1973	1.061	2.0488	1.4643	1.9851	4.4032	4.4794	2.4346	3.0226	0.234	1.8568	1.5269	1.0945	0.0876	0.1448	2.3152	0.4797	2.6053
ABHD8	0.5131	0.2959	1.3026	0.075	0.836	0.6265	0.3427	0.4659	0.9525	0.8625	0.39	1.0617	0.3043	0.8884	0.1596	0.3285	0.1975	1.1389	0.126	1.2055
ABHD9	0.5131	3.458	0.4891	2.1853	3.3941	2.6107	1.3428	2.7246	1.2429	1.5996	2.5378	1.6343	2.384	1.4206	2.0874	0.987	2.224	4.9755	2.4974	1.4276
ABI1	1.6674	1.8975	1.1708	0.7812	2.2669	0.894	2.7919	2.7324	2.5356	2.0311	2.4599	1.3723	2.3022	2.4852	1.7566	2.8789	1.0037	1.085	1.8764	1.394
ABI2	0.3548	0.1237	0.5917	0.3211	0.2681	0.2357	0.1823	0.1443	0.1717	0.2663	0.1343	0.2168	0.2925	0.1553	0.1955	0.4431	0.1142	0.1757	0.1437	0.227
ABI3	3.1933	3.7427	2.927	3.018	1.4733	3.5953	2.8572	2.1238	2.2407	3.4025	3.1517	2.2994	3.371	3.3356	1.936	2.7595	4.3324	2.7026	2.9312	2.6015
ABI3BP	2.1413	3.251	1.6343	3.4008	0.3905	3.2438	1.7196	1.6839	1.4506	0.5306	1.1588	0.3215	2.4187	0.9283	0.8996	0.1601	1.3322	1.2221	2.4314	2.3324
ABL1	0.5012	0.2971	0.4785	0.2357	0.3198	0.363	0.2795	0.173	0.1623	0.2261	0.212	0.6869	0.2045	0.325	0.3141	0.4751	0.235	0.5561	0.2528	0.5229
ABL2	0.391	0.2876	0.2085	0.3348	0.1651	0.5029	0.2029	0.4125	0.4061	0.4611	0.2156	0.8669	0.1458	0.2144	0.2758	0.7151	0.2056	0.3989	0.3899	0.3583
ABLIM1	2.7892	0.8442	2.6656	2.0641	2.6268	1.5996	1.8863	1.7648	2.3364	1.4281	2.2647	1.9194	1.1814	1.1374	1.8517	1.086	0.137	0.0974	1.9689	0.5747
ABLIM2	1.0384	2.6464	0.8573	2.2955	0.3651	1.1094	1.2094	1.5926	1.1817	0.4687	0.3707	2.0272	2.0431	0.3798	0.9639	1.8848	1.3569	0.9947	2.4994	1.0054
ABLIM3	0.0631	0.0371	0.0482	0.1424	0.0418	0.2108	0.3412	0.5459	0.0688	0.0364	0.165	0.7318	1.097	0.1338	0.0441	0.0958	0.1058	0.0727	0.0836	0.0382
ABO	1.1564	0.6068	0.9155	1.0291	1.1477	0.7272	1.4518	1.3796	1.2415	1.0268	0.6013	0.5245	1.5998	1.1094	1.0939	0.3783	0.9576	1.8856	1.0383	1.1094
ABP1	0.9258	2.741	0.6958	0.6024	0.4645	2.1558	0.4011	0.4642	0.3388	0.9475	0.4185	1.7034	2.816	0.6069	0.578	0.8141	1.785	0.6521	0.4466	0.6589
ABR	0.8392	0.7032	0.9643	0.6846	0.3895	1.2415	0.1342	0.1417	0.1942	0.1096	0.7416	0.6999	0.4903	0.0465	0.222	0.7111	0.0731	0.0766	0.5178	0.0485
ABRA	0.7472	0.6463	0.8789	2.7306	0.9389	1.0989	0.3512	1.4716	1.219	0.8202	0.739	0.964	0.9432	1.0873	1.3931	0.7781	1.203	1.1665	0.9086	0.7006
ABT1	1.1432	1.3578	0.7468	2.1908	2.3084	0.9564	1.5352	1.6704	0.9275	1.2597	1.5754	1.7691	0.2758	1.0615	1.1909	1.4146	0.3817	2.4118	1.9632	1.6716
ABTB1	2.073	0.5552	1.0602	1.6387	0.9446	2.082	0.9979	0.7204	1.5976	0.7674	1.632	1.6818	1.0438	2.2449	1.0615	1.0888	1.2836	2.1601	0.9186	0.863
ABTB2	0.1001	2.6943	0.076	0.2981	0.4146	0.0648	0.291	0.4397	0.3012	0.1932	0.2784	0.2811	0.5008	0.4053	0.0985	0.6715	1.1463	0.0513	0.5498	0.1484
ACAA1	0.2844	0.4607	0.282	0.6274	0.6643	0.703	0.7632	0.1182	0.2364	0.4152	0.4827	0.2644	0.4304	0.3854	0.2103	1.6749	0.9152	0.258	1.3578	0.2537
ACAA2	0.1049	0.7282	0.0797	0.2063	0.0365	0.206	0.4445	0.5923	0.0813	0.2529	0.0797	0.1323	0.262	0.1444	0.4642	0.5064	1.1057	0.0266	0.0786	0.1479
ACACA	1.7234	0.2996	1.1812	1.0551	1.4991	0.3274	0.3234	0.2587	0.4129	0.5128	0.381	0.2266	0.5649	0.8789	1.7016	0.4889	0.2134	0.5859	1.0403	1.1367
ACACB	0.8782	0.1041	0.9739	0.6533	0.4292	0.3352	0.0678	0.6394	0.5842	0.2793	0.1575	0.4468	0.3392	0.2691	0.3744	0.6611	0.2894	0.2853	0.717	0.5511
ACAD10	0.1947	0.1987	0.2585	0.1183	0.3352	0.2085	0.4916	0.2997	0.2974	0.1909	0.219	0.2739	0.1167	0.3656	0.1533	0.3527	0.45	0.3151	0.2422	0.1813
ACAD11	0.5082	0.23	0.2244	0.3989	0.116	0.3159	0.1621	0.1586	0.1306	0.0432	0.2657	0.1501	0.0656	0.21	0.3705	0.0583	0.2025	0.3717	0.1757	0.1727
ACAD8	0.4756	0.5088	0.1082	1.0895	1.7661	0.9049	0.5198	0.8605	0.3042	0.2854	1.2051	0.5234	0.2417	0.8527	0.7681	0.4869	1.5678	0.3796	1.2398	0.5009
ACAD9	1.0967	0.493	0.6692	0.742	0.7622	0.5813	1.2154	0.4077	1.3142	1.6445	1.068	0.5551	0.7671	1.4236	0.3825	0.305	0.8962	0.8962	0.3822	0.709
ACADL	0.3897	0.1624	3.4438	4.0351	2.3505	2.5925	2.5022	1.4862	2.588	2.0726	3.2804	0.4115	3.3515	1.8496	3.4814	2.8067	0.6648	3.0089	1.2145	3.4741
ACADM	0.0792	0.5258	0.1601	0.1848	0.2142	0.1252	0.3189	0.3032	0.1363	0.4359	0.1776	0.1088	0.4794	0.5429	0.1529	0.2875	0.7158	0.3597	0.1729	0.2157
ACADS	0.1811	0.1877	0.5587	0.2019	0.3098	1.2663	0.9856	0.303	0.669	0.301	0.2382	0.1733	0.3112	1.2179	0.6125	0.517	1.4241	1.0028	0.1483	0.6969
ACADSB	0.2788	0.6886	0.2967	1.4088	2.6504	0.2047	1.3134	0.4923	0.4086	1.5371	0.5974	0.0842	1.4556	0.8198	0.8174	0.4678	1.9419	2.2551	1.2989	0.9483
ACADVL	0.4724	0.2599	0.2044	0.1451	0.3188	0.393	0.1457	0.054	0.1281	0.0848	0.2137	0.1528	0.1334	0.1751	0.139	0.5133	0.3149	0.0881	0.0637	0.0896
ACAN	2.0712	2.2339	2.4718	3.0203	0.5067	1.7767	1.4697	0.8945	0.2607	0.8078	0.1224	2.5272	0.5277	1.5452	1.4107	0.5669	1.8771	0.5658	1.2899	0.1231
ACAT1	0.2704	0.0964	0.0714	0.0608	0.0443	0.0674	0.213	0.0271	0.1015	0.0596	0.1414	0.0431	0.0593	0.0709	0.1958	0.1022	0.0213	0.1446	0.0696	0.1491
ACBD3	2.2318	2.0739	2.262	1.615	1.2603	1.323	0.9916	1.6413	1.541	2.4872	1.834	1.9001	1.826	3.0032	1.5108	2.5449	1.8793	2.4327	1.7947	2.547
ACBD4	0.5044	0.2711	0.547	0.3164	0.5242	1.9729	0.9944	0.5703	0.8534	0.7067	0.2758	1.2353	1.2162	1.3979	0.3975	1.287	1.5389	1.0308	0.5872	0.8502
ACBD5	0.9241	0.4288	0.4577	0.5528	1.2497	1.0675	0.6433	1.1311	0.5841	0.5433	1.1775	0.3311	1.1636	0.7367	0.5097	0.513	1.2885	0.8437	0.3373	0.5947
ACBD6	1.9283	0.7517	0.6257	0.6015	1.069	0.2055	0.4191	1.4215	1.0863	0.8127	0.261	0.2537	0.131	0.5485	0.3094	0.6941	0.1776	0.4354	0.3236	0.7053
ACCN1	0.6139	0.9585	0.8547	0.6904	0.8636	0.9032	1.1706	1.0035	1.8039	0.9256	0.9075	0.6037	0.731	1.1734	0.8279	1.6779	2.2391	1.2143	1.4956	1.0453
